obs_id,year,exporter_iso3,importer_iso3,corridor_id,hs6,family_id,product_name,exporter_code,importer_code,exporter_name,importer_name,trade_value_usd,quantity_metric_ton,unit_value_usd_per_metric_ton,benchmark_price_usd_per_metric_ton,benchmark_yoy_change,log_unit_value,shifted_corridor_history_median,shifted_corridor_history_mad,robust_historical_z,same_family_year_peer_percentile,trade_value_yoy_change,quantity_yoy_change,unit_value_yoy_change,benchmark_residual,benchmark_adjusted_drift,corridor_activity_history,corridor_novelty_flag,corridor_reactivation_flag,value_quantity_divergence,missing_quantity_flag,missing_benchmark_flag,missing_history_flag,missing_country_mapping_flag,valid_extreme_flag,benchmark_consistency_gap,data_quality_score,quality_status,model_eligible,source_version,source_row_id,data_quality_flags,benchmark_caveat
obs_ec0f4396523f2e7ef497,2017,ARE,BHR,ARE->BHR,151110,crude_palm_oil,Crude palm oil,784,48,United Arab Emirates,Bahrain,80662.0,67.812,1189.4944847519614,750.81,,7.0812836931218905,,,,0.5967503692762186,,,,0.46013106937197,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_e2ecad528e0f8d6d88a60c06,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_be61f7b612f8f7b031fd,2017,ARE,FRA,ARE->FRA,151110,crude_palm_oil,Crude palm oil,784,251,United Arab Emirates,France,119.0,0.06,1983.3333333333335,750.81,,7.592534209871566,,,,0.7178729689807977,,,,0.9713815861216455,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_c9f3741b3e522b2e94b88a60,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_b6fb3db93dd5e28884be,2017,ARE,OMN,ARE->OMN,151110,crude_palm_oil,Crude palm oil,784,512,United Arab Emirates,Oman,3402.0,5.12,664.453125,750.81,,6.49896433390439,,,,0.172821270310192,,,,-0.1221882898455302,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_474a3fe972e3a60256e33610,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_914e4f541309209a8c90,2017,ARE,SDN,ARE->SDN,151110,crude_palm_oil,Crude palm oil,784,729,United Arab Emirates,Sudan,28103.0,36.356,772.994828914072,750.81,,6.650272358932539,,,,0.34416543574593794,,,,0.029119735182618456,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_d9e222798f2d69a072248534,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_1a548feade25526ea1e4,2017,ARE,SWE,ARE->SWE,151110,crude_palm_oil,Crude palm oil,784,752,United Arab Emirates,Sweden,7501.0,6.0,1250.1666666666667,750.81,,7.131032154741582,,,,0.6129985228951256,,,,0.5098795309916611,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_d12fc18a25f1b67fb189064d,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_7f8297f4ae2dcaacea99,2017,ARG,CHL,ARG->CHL,151110,crude_palm_oil,Crude palm oil,32,152,Argentina,Chile,42678.0,56.0,762.1071428571429,750.81,,6.636087153226421,,,,0.32348596750369274,,,,0.014934529476500202,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_4322ad993d041973543ce810,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_b878917d554e4312e5f6,2017,ARG,ESP,ARG->ESP,151110,crude_palm_oil,Crude palm oil,32,724,Argentina,Spain,254.0,0.024,10583.333333333334,750.81,,9.267035715652728,,,,0.9290989660265879,,,,2.6458830919028076,,0.0,1,0,,0,0,1,0,True,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_44f0c67d89ad70ee6d1a2c8a,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_76c849d99e205ebd161e,2017,ARG,MOZ,ARG->MOZ,151110,crude_palm_oil,Crude palm oil,32,508,Argentina,Mozambique,9803121.0,,,750.81,,,,,,,,,,,,0.0,1,0,,1,0,1,0,False,,3,excluded_from_modeling_retained_for_audit,False,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_b9ebeae12d6927ae6679adef,quantity_missing=1;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_ddca056d9b3d092ee9e2,2017,AUT,CAN,AUT->CAN,151110,crude_palm_oil,Crude palm oil,40,124,Austria,Canada,341.0,0.804,424.12935323383084,750.81,,6.050038487086687,,,,0.08124076809453472,,,,-0.5711141366632333,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_4281afd19921e83eaec5aeb3,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
obs_c98f5b71a44d55eaeefa,2017,AUT,DEU,AUT->DEU,151110,crude_palm_oil,Crude palm oil,40,276,Austria,Germany,539371.0,669.272,805.9070153838798,750.81,,6.6919683703228285,,,,0.397341211225997,,,,0.07081574657290801,,0.0,1,0,,0,0,1,0,False,,4,usable_with_caveat,True,CEPII_BACI_HS17_V202601_filtered_official_derived,baci_e86801f5bbdd687c74ab4640,quantity_missing=0;benchmark_missing=0;history_missing=1;country_missing=0,Malaysia crude palm oil benchmark; not corridor-specific landed or invoice price.
