seed,clean_panel_hash,obs_id,split,family_id,year,scenario_id,synthetic_review_priority,hard_negative,trade_value_usd_before,quantity_metric_ton_before,trade_value_usd_after,quantity_metric_ton_after
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_19414890771363ce9e20,test,crude_palm_oil,2023,hard_negative_benchmark_consistent_movement,0,True,121.0,0.007,8.921038473161307,0.007
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_1babcd463fbd92fe5539,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,6142.0,1.299,1714.7761188686002,1.299
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_21dcb9200d8aafb84591,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,5.0,0.001,1.320073994510085,0.001
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_30abd48b2894b538bfd8,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,2.0,0.002,2.64014798902017,0.002
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_327483525648d134cb05,test,crude_palm_oil,2023,hard_negative_benchmark_consistent_movement,0,True,865.0,1.004,1279.5265947179755,1.004
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_410f32a767f5ab2a91c7,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,11039.0,5.28,6969.990691013249,5.28
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_6bef43c9f7fdba1328a5,test,crude_palm_oil,2023,hard_negative_benchmark_consistent_movement,0,True,60.0,0.165,210.28097908909,0.165
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_8511ca1588d25fe154c2,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,1046.0,0.16,211.2118391216136,0.16
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_86f6360da5bf5714a699,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,9531.0,1.225,1617.0906432748543,1.225
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_9dadaa9d78206f233446,test,crude_palm_oil,2023,hard_negative_benchmark_consistent_movement,0,True,884.0,0.775,987.678360392469,0.775
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_b0511f2beeac3f12a569,test,crude_palm_oil,2023,hard_negative_benchmark_consistent_movement,0,True,1063826.0,621.275,791772.413633591,621.275
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_f8dcf3ee6cb7611f21a2,test,crude_palm_oil,2024,hard_negative_benchmark_consistent_movement,0,True,11608555.0,11243.0,14841591.920276886,11243.0
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_05860f57c1ef6d91dd10,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,71680.0,34.699,279759.2838280644,135.42644237653468
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_0735ef12e5c3dd6882d1,test,crude_palm_oil,2024,hard_negative_proportional_value_quantity_growth,0,True,338823502.0,365972.029,1062416750.0385766,1147543.813696854
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_185e4e5f7471053ed12c,test,crude_palm_oil,2024,hard_negative_proportional_value_quantity_growth,0,True,20.0,0.001,40.53306872909378,0.002026653436454689
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_448b0e9d3825c1103045,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,4672.0,1.6,18475.41486094009,6.327196870184963
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_47faa92705c5484c589f,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,6759906.0,6368.667,21344822.101300355,20109.460714013218
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_49db58e6890c687c26f3,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,291213.0,224.244,1112457.9182972487,856.6307597210572
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_62257593222fdc9158dd,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,1486003.0,1238.339,5674732.970619492,4728.956235017003
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_690733caa76b0482b787,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,21668.0,19.002,56258.01922627334,49.33611230098052
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_8a52826cda5c18e145e9,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,65.0,0.004,199.4030287073037,0.01227095561275715
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_9e13b0b7c8bed55cf60b,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,47791025.0,26423.01,104074190.55295171,57541.20941583798
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_b676218f92b058479f7b,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,93071.0,73.85,197146.19072018986,156.43160796258792
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_f5d834344a74dc8a4f95,test,crude_palm_oil,2023,hard_negative_proportional_value_quantity_growth,0,True,4764.0,0.63,10760.416238617972,1.4229769585074146
20260117,1552233d8f26208156fe958e3be0a6d5327f51409d53accc0f22af91f4ef41b6,obs_4dc8d775bf70682a1cd5,test,crude_palm_oil,2023,synthetic_low_volume_high_value,1,False,16578.0,14.914,33439.368905555246,7.360263812761836
